,,,,,Games,,Passing,,,,,Rushing,,,,Receiving,,,,,Fumbles,,Scoring,,,Fantasy,,,,,,
160,Bryce Treggs\TregBr00,PHI,WR,22,9,1,0,0,0,0,0,2,7,3.5,0,12,3,80,26.67,0,0,0,0,,,9,11.7,11.7,10.2,,159,
161,Ryan Grant\GranRy01,WAS,WR,26,16,1,0,0,0,0,0,0,0,,0,19,9,76,8.44,0,0,0,0,,,8,16.6,16.6,12.1,,163,
162,Rashard Higgins\HiggRa00,CLE,WR,22,16,0,0,0,0,0,0,0,0,,0,12,6,77,12.83,0,0,0,0,,,8,13.7,13.7,10.7,,161,
163,Cody Latimer\LatiCo00,DEN,WR,24,12,1,0,0,0,0,0,0,0,,0,15,8,76,9.5,0,0,0,0,,,8,15.6,15.6,11.6,,162,
164,Wendall Williams\WillWe00,HOU,WR,26,3,0,0,0,0,0,0,0,0,,0,7,4,75,18.75,0,0,0,0,,,8,11.5,11.5,9.5,,164,
165,Aaron Burbridge\BurbAa00,SFO,WR,23,16,3,0,0,0,0,0,0,0,,0,16,7,88,12.57,0,1,1,0,,,7,13.8,14.8,10.3,,168,
166,Michael Campanaro\CampMi02,BAL,WR,25,3,0,0,0,0,0,0,3,72,24,0,1,0,0,,0,0,0,0,,,7,7.2,7.2,7.2,,165,
167,Josh Doctson\DoctJo00,WAS,WR,24,2,0,0,0,0,0,0,0,0,,0,6,2,66,33,0,0,0,0,,,7,8.6,8.6,7.6,,169,
168,Alex Erickson\EricAl01,CIN,WR,24,16,0,0,0,0,0,0,0,0,,0,8,6,71,11.83,0,3,0,0,,,7,13.1,13.1,10.1,,166,
169,Maurice Harris\HarrMa05,WAS,WR,24,10,0,0,0,0,0,0,0,0,,0,12,8,66,8.25,0,1,0,0,,,7,14.6,14.6,10.6,,170,
170,Chris Moore\MoorCh00,BAL,WR,23,15,0,0,0,0,0,0,3,19,6.33,0,16,7,46,6.57,0,1,0,1,,,7,13.5,19.5,16,,171,
171,Keith Mumphery\MumpKe00,HOU,WR,24,11,3,0,0,0,0,0,0,0,,0,12,10,69,6.9,0,0,0,0,,,7,16.9,16.9,11.9,,167,
172,Keenan Allen\AlleKe00,SDG,WR,24,1,1,0,0,0,0,0,0,0,,0,7,6,63,10.5,0,0,0,0,,,6,12.3,12.3,9.3,,174,
173,Trevor Davis\DaviTr03,GNB,WR,23,11,0,0,0,0,0,0,0,0,,0,7,3,24,8,1,2,1,1,,,6,9.4,10.4,7.9,,173,
174,Johnny Holton\HoltJo00,OAK,WR,25,15,0,0,0,0,0,0,6,43,7.17,0,3,2,34,17,0,1,1,0,,,6,7.7,8.7,6.7,,176,
175,De'Anthony Thomas\ThomDe05,KAN,WR,23,12,0,0,0,0,0,0,4,29,7.25,0,9,7,35,5,0,0,0,0,,,6,13.4,13.4,9.9,,172,
176,Nick Williams\WillNi02,ATL,WR,26,2,0,0,0,0,0,0,0,0,,0,7,5,59,11.8,0,0,0,0,,,6,10.9,10.9,8.4,,175,
177,Dwayne Harris*\HarrDw00,NYG,WR,29,16,1,0,0,0,0,0,0,0,,0,1,1,13,13,1,3,1,1,,,5,6.3,7.3,5.8,,177,
178,Tavarres King\KingTa00,NYG,WR,26,7,0,0,0,0,0,0,0,0,,0,4,2,50,25,0,0,0,0,,,5,7,7,6,,178,
179,Quan Bray\BrayQu00,IND,WR,23,6,0,0,0,0,0,0,1,7,7,0,4,3,36,12,0,0,0,0,,,4,7.3,7.3,5.8,,179,
180,Bradley Marquez\MarqBr00,LAR,WR,24,14,0,0,0,0,0,0,1,2,2,0,7,3,37,12.33,0,0,0,0,,,4,6.9,6.9,5.4,,180,
181,Dexter McCluster\McClDe00,SDG,WR,27,6,0,0,0,0,0,0,3,2,0.67,0,11,7,36,5.14,0,0,0,0,,,4,10.8,10.8,7.3,,181,
182,Brenton Bersin\BersBr00,CAR,WR,26,10,0,0,0,0,0,0,0,0,,0,6,2,17,8.5,0,0,0,0,,,2,3.7,3.7,2.7,,188,
183,Damiere Byrd\ByrdDa00,CAR,WR,23,1,0,0,0,0,0,0,0,0,,0,1,1,16,16,0,0,0,0,,,2,2.6,2.6,2.1,,190,
184,Percy Harvin\HarvPe00,BUF,WR,28,2,1,0,0,0,0,0,1,11,11,0,4,2,6,3,0,0,0,0,,,2,3.7,3.7,2.7,,189,
185,Marc Mariani\MariMa00,TEN,WR,29,16,0,0,0,0,0,0,1,15,15,0,0,0,0,,0,1,0,0,,,2,1.5,1.5,1.5,,192,
186,DeAndre Smelter\SmelDe00,SFO,WR,25,2,0,0,0,0,0,0,0,0,,0,1,1,23,23,0,0,0,0,,,2,3.3,3.3,2.8,,183,
187,Devin Smith\SmitDe04,NYJ,WR,24,4,0,0,0,0,0,0,0,0,,0,3,1,20,20,0,0,0,0,,,2,3,3,2.5,,185,
188,Devin Street\StreDe00,IND,WR,25,5,0,0,0,0,0,0,0,0,,0,6,1,20,20,0,0,0,0,,,2,3,3,2.5,,186,
189,Mike Thomas\ThomMi04,LAR,WR,22,15,0,0,0,0,0,0,0,0,,0,9,3,37,12.33,0,1,1,0,,,2,4.7,5.7,3.2,,187,
190,Laquon Treadwell\TreaLa00,MIN,WR,21,9,1,0,0,0,0,0,0,0,,0,3,1,15,15,0,0,0,0,,,2,2.5,2.5,2,,191,
191,Griff Whalen\WhalGr00,SDG,WR,26,8,0,0,0,0,0,0,0,0,,0,4,2,22,11,0,0,0,0,,,2,4.2,4.2,3.2,,184,
192,Shane Wynn\WynnSh00,JAX,WR,24,5,0,0,0,0,0,0,2,5,2.5,0,3,1,19,19,0,0,0,0,,,2,3.4,3.4,2.9,,182,
193,Jared Abbrederis\AbbrJa00,GNB,WR,26,5,0,0,0,0,0,0,0,0,,0,2,1,8,8,0,0,0,0,,,1,1.8,1.8,1.3,,196,
194,Jeremy Butler\ButlJe01,SDG,WR,25,4,0,0,0,0,0,0,0,0,,0,2,2,11,5.5,0,0,0,0,,,1,3.1,3.1,2.1,,194,
195,Rashad Greene\GreeRa00,JAX,WR,24,8,0,0,0,0,0,0,0,0,,0,8,5,32,6.4,0,4,1,0,,,1,6.2,7.2,3.7,,193,
196,Paul McRoberts\McRoPa00,LAR,WR,24,2,0,0,0,0,0,0,0,0,,0,1,1,6,6,0,0,0,0,,,1,1.6,1.6,1.1,,198,
197,Rashad Ross\RossRa00,WAS,WR,26,5,0,0,0,0,0,0,0,0,,0,1,1,8,8,0,0,0,0,,,1,1.8,1.8,1.3,,197,
198,Tony Washington\WashTo00,JAX,WR,24,2,0,0,0,0,0,0,0,0,,0,1,1,9,9,0,0,0,0,,,1,1.9,1.9,1.4,,195,
199,Jordan Payton\PaytJo00,CLE,WR,23,4,0,0,0,0,0,0,0,0,,0,3,1,3,3,0,0,0,0,,,,1.3,1.3,0.8,,199,
200,Jakeem Grant\GranJa00,MIA,WR,24,16,0,0,0,0,0,0,1,1,1,0,1,0,0,,0,4,1,1,,,-2,4.1,5.1,4.1,,213,
201,Matthew Slater*+\SlatMa00,NWE,WR,31,13,0,0,0,0,0,0,1,5,5,0,1,0,0,,0,2,1,0,,,-2,-1.5,-0.5,-1.5,,212,
