Rk,Player,Tm,FantPos,Age,G,GS,Tgt,Rec,Yds,Y/R,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
140,Brenton Bersin\BersBr00,CAR,WR,27,8,1,14,8,128,16,0,0,0,,,13,20.8,23.8,16.8,,141,
141,Pharoh Cooper*+\CoopPh00,LAR,WR,22,16,1,19,11,84,7.64,3,1,1,,,13,24,25,18.5,,140,
142,Josh Malone\MaloJo00,CIN,WR,21,11,7,17,6,63,10.5,0,0,1,,,13,18.5,18.5,15.5,,142,
143,Marvin Hall\HallMa02,ATL,WR,24,8,0,9,2,60,30,0,0,1,,,12,14,14,13,,144,
144,Maurice Harris\HarrMa05,WAS,WR,25,6,0,6,4,62,15.5,0,0,1,,,12,16.2,16.2,14.2,,143,
145,Hunter Sharp\SharHu01,2TM,WR,23,3,1,9,5,54,10.8,0,0,1,,,11,16.4,16.4,13.9,,145,
146,ArDarius Stewart\StewAr00,NYJ,WR,24,15,2,13,6,82,13.67,0,0,0,,,11,16.9,16.9,13.9,,146,
147,Freddie Martino\MartFr00,TAM,WR,26,8,0,6,5,96,19.2,0,0,0,,,10,14.6,14.6,12.1,,149,
148,Travis Rudolph\RudoTr00,NYG,WR,22,7,1,21,8,101,12.63,0,0,0,,,10,18.1,21.1,14.1,,147,
149,Jaelen Strong\StroJa01,2TM,WR,23,2,0,4,3,38,12.67,0,0,1,,,10,12.8,12.8,11.3,,148,
150,Mike Williams\WillMi07,LAC,WR,23,10,1,23,11,95,8.64,0,0,0,,,10,20.5,20.5,15,,150,
151,Chad Hansen\HansCh00,NYJ,WR,22,15,1,17,9,94,10.44,0,0,0,,,9,18.4,18.4,13.9,,151,
152,Ryan Switzer\SwitRy00,DAL,WR,23,16,0,7,6,41,6.83,1,1,1,,,9,14.6,15.6,11.6,,154,
153,Mike Thomas\ThomMi04,LAR,WR,23,8,1,7,5,93,18.6,1,0,0,,,9,14.3,14.3,11.8,,152,
154,Bobo Wilson\WilsJe00,TAM,WR,22,3,1,1,1,18,18,0,0,1,,,9,9.6,9.6,9.1,,153,
155,Trevor Davis\DaviTr03,GNB,WR,24,16,0,7,5,70,14,0,0,0,,,8,13.3,13.3,10.8,,158,
156,Michael Floyd\FloyMi00,MIN,WR,28,11,1,17,10,78,7.8,0,0,0,,,8,17.8,17.8,12.8,,159,
