,,,,,Games,,Passing,,,,,Rushing,,,,Receiving,,,,,Fumbles,,Scoring,,,Fantasy,,,,,,
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
125,James Washington\WashJa00,PIT,WR,22,14,6,0,0,0,0,0,0,0,,0,38,16,217,13.56,1,0,0,1,,,28,43.7,46.7,35.7,,125,
126,Martavis Bryant\BryaMa00,OAK,WR,27,8,2,0,0,0,0,0,3,23,7.67,0,27,19,266,14,0,1,1,0,,,27,45.9,49.9,36.4,,128,
127,Chris Moore\MoorCh00,BAL,WR,25,16,0,0,0,0,0,0,5,17,3.4,0,25,19,196,10.32,1,0,0,1,,,27,46.3,49.3,36.8,,126,
128,Trent Sherfield\SherTr00,ARI,WR,22,13,2,0,0,0,0,0,0,0,,0,28,19,210,11.05,1,0,0,1,,,27,46,49,36.5,,127,
129,Bennie Fowler\FowlBe00,NYG,WR,27,10,5,0,0,0,0,0,0,0,,0,27,16,199,12.44,1,1,0,1,,,26,41.9,44.9,33.9,,130,
130,Brandon LaFell\LaFeBr00,OAK,WR,32,6,5,0,0,0,0,0,0,0,,0,16,12,135,11.25,2,0,0,2,,,26,37.5,40.5,31.5,,131,
131,Andre Roberts*+\RobeAn00,NYJ,WR,30,16,1,0,0,0,0,0,2,20,10,0,17,10,79,7.9,1,3,1,3,,,26,35.9,36.9,30.9,,129,
132,Justin Hardy\HardJu00,ATL,WR,27,16,0,0,0,0,0,0,0,0,,0,22,14,133,9.5,2,1,0,2,,,25,39.3,42.3,32.3,,132,
133,Cody Latimer\LatiCo00,NYG,WR,26,6,2,0,0,0,0,0,0,0,,0,16,11,190,17.27,1,0,0,1,,,25,36,39,30.5,,133,
134,Cody Core\CoreCo00,CIN,WR,24,14,3,0,0,0,0,0,0,0,,0,28,13,160,12.31,1,0,0,1,1,,24,37,40,30.5,,135,
135,Chad Williams\WillCh05,ARI,WR,24,10,7,0,0,0,0,0,1,9,9,0,46,17,171,10.06,1,0,0,1,,,24,41,44,32.5,,134,
136,Richie James\JameRi00,SFO,WR,23,13,2,0,0,0,0,0,0,0,,0,14,9,130,14.44,1,2,1,2,,,23,32,36,27.5,,136,
137,Austin Carr\CarrAu00,NOR,WR,25,14,2,0,0,0,0,0,0,0,,0,14,9,97,10.78,2,0,0,2,,,22,30.7,30.7,26.2,,137,
138,Marcell Ateman\AtemMa00,OAK,WR,24,7,6,0,0,0,0,0,0,0,,0,31,15,154,10.27,1,0,0,1,,,21,36.4,39.4,28.9,,138,
139,Marvin Hall\HallMa02,ATL,WR,25,16,0,0,0,0,0,0,2,0,0,0,19,10,149,14.9,1,0,0,1,,,21,30.9,33.9,25.9,,139,
140,Josh Bellamy\BellJo02,CHI,WR,29,16,2,0,0,0,0,0,0,0,,0,25,14,117,8.36,1,0,0,1,1,,20,33.7,36.7,26.7,,141,
141,DeAndre Carter\CartDe02,2TM,WR,25,14,4,0,0,0,0,0,1,7,7,0,25,22,216,9.82,0,5,1,0,,,20,42.3,46.3,31.3,,140,
142,Brandon Marshall\MarsBr00,SEA,WR,34,7,2,0,0,0,0,0,0,0,,0,23,11,136,12.36,1,0,0,1,,,20,30.6,33.6,25.1,,142,
143,Michael Floyd\FloyMi00,WAS,WR,29,13,3,0,0,0,0,0,0,0,,0,24,10,100,10,1,0,0,1,1,,18,28,31,23,,143,
144,Leonte Carroo\CarrLe00,MIA,WR,24,9,0,0,0,0,0,0,1,14,14,0,4,2,94,47,1,0,0,1,,,17,18.8,18.8,17.8,,146,
145,Alex Erickson\EricAl01,CIN,WR,26,16,6,0,0,0,0,0,3,22,7.33,0,29,20,167,8.35,0,1,1,0,,,17,36.9,40.9,26.9,,145,
146,Darius Jennings\JennDa00,TEN,WR,26,16,0,1,1,21,0,0,1,2,2,0,15,11,101,9.18,0,0,0,1,,,17,28.1,31.1,22.6,,144,
147,Andre Holmes\HolmAn00,2TM,WR,30,15,3,0,0,0,0,0,0,0,,0,24,13,162,12.46,0,0,0,0,,,16,29.2,32.2,22.7,,148,
148,Marcus Johnson\JohnMa07,IND,WR,24,5,0,0,0,0,0,0,1,-2,-2,0,8,6,102,17,1,0,0,1,,,16,22,25,19,,150,
149,Jake Kumerow\KumeJa00,GNB,WR,26,5,2,0,0,0,0,0,0,0,,0,11,8,103,12.88,1,0,0,1,,,16,24.3,27.3,20.3,,147,
150,Deonte Thompson\ThomDe04,2TM,WR,29,13,6,0,0,0,0,0,0,0,,0,30,17,161,9.47,0,0,0,0,,,16,33.1,36.1,24.6,,149,
151,DJ Chark\CharDJ00,JAX,WR,22,11,0,0,0,0,0,0,0,0,,0,32,14,174,12.43,0,1,1,0,,,15,29.4,33.4,22.4,,152,
152,Cameron Meredith\MereCa00,NOR,WR,26,6,1,0,0,0,0,0,0,0,,0,10,9,114,12.67,1,1,1,1,,,15,24.4,28.4,19.9,,151,
153,Vyncint Smith\SmitVy00,HOU,WR,22,7,1,0,0,0,0,0,0,0,,0,10,5,91,18.2,1,0,0,1,,,15,20.1,20.1,17.6,,153,
154,Deontay Burnett\BurnDe00,NYJ,WR,21,5,1,0,0,0,0,0,0,0,,0,15,10,143,14.3,0,0,0,0,,,14,24.3,27.3,19.3,,155,
155,Andy Jones\JoneAn01,DET,WR,24,8,3,0,0,0,0,0,0,0,,0,24,11,80,7.27,1,0,0,1,,,14,25,25,19.5,,156,
